"id","questionId","rHitung","rTabel","status","cronbachAlpha","cronbachStatus","createdAt"
"cmoecyq5n01a7f1jcb7j204wb","cmoecyosy0009f1jcnyjiqtrv",0.513,0.361,"Valid",0.942,"Reliabel","2026-04-25T13:11:28.235Z"
"cmoecyq5u01a9f1jcwvabtm29","cmoecyot5000bf1jcz72lbhd2",0.623,0.361,"Tidak Valid",0.8,"Reliabel","2026-04-25T13:11:28.242Z"
"cmoecyq6001abf1jc8q4tcm0d","cmoecyotd000df1jc6lsgcq0q",0.76,0.361,"Valid",0.723,"Reliabel","2026-04-25T13:11:28.248Z"
"cmoecyq6601adf1jcu11mcmyh","cmoecyotj000ff1jcdbezkhdn",0.8,0.361,"Tidak Valid",0.704,"Reliabel","2026-04-25T13:11:28.255Z"
"cmoecyq6d01aff1jccg9cny07","cmoecyotr000hf1jcjt49goml",0.502,0.361,"Valid",0.758,"Reliabel","2026-04-25T13:11:28.261Z"
"cmoecyq6j01ahf1jct9nh3gmd","cmoecyotw000jf1jc5ttuthae",0.737,0.361,"Valid",0.901,"Reliabel","2026-04-25T13:11:28.267Z"
"cmoecyq6p01ajf1jcjcscoucu","cmoecyou2000lf1jc4qzd468r",0.661,0.361,"Valid",0.744,"Reliabel","2026-04-25T13:11:28.273Z"
"cmoecyq6y01alf1jc3bngprk7","cmoecyou9000nf1jco1pxt52l",0.729,0.361,"Valid",0.797,"Reliabel","2026-04-25T13:11:28.282Z"
"cmoecyq7401anf1jckyg8o6ch","cmoecyouf000pf1jcz7jx8q8t",0.529,0.361,"Tidak Valid",0.726,"Reliabel","2026-04-25T13:11:28.289Z"
"cmoecyq7d01apf1jc2fowwu2f","cmoecyoun000rf1jc1bma24m3",0.632,0.361,"Valid",0.718,"Reliabel","2026-04-25T13:11:28.297Z"
